Term,Definition
Gann Fans,Gann fans are a form of technical analysis based on the idea that the market is geometric and cyclical in nature. A Gann fan consists of a series of lines called Gann angles. These angles are superimposed over a price chart to show potential support and resistance levels. The resulting image is supposed to help technical analysts predict price changes.
PERPETUITY,"An ASSET or financial CONTRACT that pays INVESTORS a stated CASH FLOW on a continuous basis but does not provide for PRINCIPAL repayment. The PRESENT VALUE of constant and growing perpetuities is given as:Constant:Growing:where CF is the stated cash flow, r is the DISCOUNT RATE, and g is the growth rate. See also ANNUITY."
factor,"(1) a common influence on security prices (e.g., the level of interest rates or oil prices); (2) a business providing ing."
MOB SPREAD,See MUNICIPALS OVER BONDS SPREAD.
Employment rate,The percentage of the labor force that is employed.
Troubled Asset Relief Program (TARP),"The Troubled Asset Relief Program (TARP) was an initiative created and run by the U.S. Treasury to stabilize the country’s financial system, restore economic growth, and mitigate foreclosures in the wake of the 2008 financial crisis. TARP sought to achieve these targets by purchasing troubled companies’ assets and stock."
National Association of Realtors (NAR),"The National Association of Realtors (NAR) is a national organization of real estate brokers, known as realtors, created to promote the real estate profession and foster professional behavior in its members. The association has its own code of ethics to which it requires its members to adhere.﻿﻿"
Regulation W,"Regulation W is a U.S. Federal Reserve System regulation that limits certain transactions between depository institutions, such as banks, and their affiliates. In particular, it sets quantitative limits on covered transactions and requires collateral for certain transactions. The regulation applies to banks that are members of the Federal Reserve System, insured state non-member banks and insured savings associations. Regulation W was introduced to consolidate several decades of interpretations and rulemaking under Sections 23A and 23B of the Federal Reserve Act."
REAL OPTION ANALYSIS,See REAL OPTION VALUATION.
Emigration,"Emigration is the relocation or process of people leaving one country to reside in another. People emigrate for many reasons, include increasing one's chance of employment or improving quality of life. Emigration affects the economies of the countries involved in both positive and negative ways, depending on the current state of the countries' economies."
Modified Duration,A modification to the standard duration measure so that it more accurately describes the relationship between proportional changes in a bond price and actual changes in its yield. The modification takes account of the compounding frequency with which the yield is quoted.
BILL RATE,See DISCOUNT RATE.
central bank,"The government agency that over-sees the banking system and is responsible for the amount of money and credit supplied in the economy; in the United States, the Federal Reserve System."
Calendar Spread,A position that is created by taking a long position in a call option that matures at one time and a short position in a similar call option that matures at a different time. (A calendar spread can also be created using put options.)
Nest egg,"An amount of money saved for a special occasion, such as retirement or buying a house."
SENIOR SECURED DEBT,A form of SENIOR DEBT with COLLATERAL or SECURITY pledged in support of repayment in the event of a BORROWER’S DEFAULT.
DEBT SERVICE,"Contractually required CASH FLOWS that a BORROWER must pay on a LOAN, BOND, LEASE, or other form of DEBT, generally com- prised of COUPON INTEREST, a fractional portion of PRINCIPAL (payable into a SINKING FUND), and/or a LEASE payment. See also  COVERAGE."
mutual insurance company,An insurance company that is owned by the policyholders and has the objective of providing insurance for the lowest possible price.
Scrips,"A scrip is better known as a substitute or alternative to legal tender. Holding a scrip entitles the bearer to receive something in return. Scrips come in many different forms, primarily as a form of credit, with the document acknowledging the debt. Scrips also represent a temporary document representing fractional shares resulting from a split or spin-off, or they may indicate currency issued by a private corporation such as frequent flier miles."
Nonprofit Organization (NPO),"A nonprofit organization is a business that has been granted tax-exempt status by the Internal Revenue Service (IRS) because it furthers a social cause and provides a public benefit. Donations made to a nonprofit organization are typically tax-deductible to individuals and businesses that make them, and the nonprofit itself pays no tax on the received donations or on any other money earned through fundraising activities. Nonprofit organizations are sometimes called NPOs or 501(c)(3) organizations based on the section of the tax code that permits them to operate.﻿﻿"
Defeasance,"Defeasance is a provision in a contract that voids a bond or loan on a balance sheet when the borrower sets aside cash or bonds sufficient enough to service the debt. The borrower sets aside cash to pay off the bonds; therefore, the outstanding debt and cash offset each other on the balance sheet and do not need to be recorded."
PORTFOLIO INSURANCE,A technique that allows participants to bene- fit from a rising market by increasing exposure to COMMON STOCKS and protecting against a declining market by decreasing exposure. The primary downside RISK MANAGEMENT application is centered on the sale of INDEX FUTURES to protect an INVESTMENT PORTFOLIO against a fall in prices.
Characteristics of money,"Important features money should have. Money should be portable, durable, divisible, generally acceptable, relatively scarce, and uniform."
Escrow Agreement,"An escrow agreement is a contract that outlines the terms and conditions between parties involved, and the responsibility of each. Escrow agreements generally involve an independent third party, called an escrow agent, who holds an asset of value until the specified conditions of the contract are met. However, they should fully outline the conditions for all parties involved."
PAYBACK PERIOD,"Also know as PAYBACK RULE.where CI is the initial capital investment, CFp.a. is the annual cash flow from the investment. Also known as PAYBACK PERIOD. See also INTERNAL RATE OF RETURN, NET PRESENT VALUE."
Class Midpoint,Middle value of a class. It is the representative value of different observations in a class. It is equal to (upper class limit + lower class limit)/2.
Federal Savings and Loan Insurance Corporation @FSLIC@,An agency that provided deposit insurance to savings and loans similar to the Federal Deposit Insurance Corporation that insures banks. FSLIC was eliminated in 1989.
Chapter 7,A type of bankruptcy that requires individuals unable to pay their debts to sell his or her assets to pay creditors. Also known as “liquidation” or “straight” bankruptcy.
Consumer price index CPI,"A price index that measures the cost of a  xed basket of consumer goods in which the weight assigned to each commodity is the share of expen-ditures on that commodity in a base year.     Consumer surplus.    The difference between the amount that a con-sumer would be willing to pay for a commodity and the amount actu-ally paid. This difference arises because the marginal utilities @in dollar terms@ of all but the last unit exceed the price. Under certain conditions, the money value of consumer surplus can be measured @using a demand curve diagram@ as the area under the demand curve but above the price line.     "
GDAX,"Coinbase, the first licensed U.S. bitcoin exchange and one of the most popular, was founded in 2012 and has helped to bring digital currencies to investors both in the U.S. and abroad. Faced with massive growth in its user base and trading volume in 2015, Coinbase decided to expand its bitcoin offerings to include other digital currencies like ethereum. The company set up separate exchanges catered to individual or ""casual"" investors and highly active traders. The latter of these was eventually rebranded as GDAX, standing for Global Digital Asset Exchange."
Under Reporting,Under reporting is a term describing the crime of intentionally reporting less income or revenue than was actually received. Companies and individuals chiefly under report their incomings in an effort to avoid or reduce their respective tax liabilities.
Harmonized Sales Tax (HST),"Canada's harmonized sales tax (HST) is a consumption tax paid by local consumers and businesses. As the name implies, it ""harmonizes"" (combines) the nation's federal goods and services tax and various provincial sales taxes. Five Canadian provinces use the HST."
Wrap-Around Loan,A wrap-around loan is a type of mortgage loan that can be used in owner-financing deals. This type of loan involves the seller’s mortgage on the home and adds an additional incremental value to arrive at the total purchase price that must be paid to the seller over time.
BONUS SHARE,See STOCK DIVIDEND.
Qualified Appraisal,A qualified appraisal is an appraisal that meets the requirements set forth by the Internal Revenue Service (IRS) and is conducted by a qualified appraiser. Qualified appraisals are made no earlier than 60 days before a piece of property is donated.﻿﻿﻿
ASIAN DEVELOPMENT BANK,"A MULTILATERAL DEVELOPMENT BANK created in 1966 by Asian nations to support economic and social progress and to supply long-term development finance to member countries, mod- eled after the INTERNATIONAL BANK FOR RECONSTRUCTION AND DEVELOPMENT."
Net Present Value Rule,The net present value rule is the idea that company managers and investors should only invest in projects or engage in transactions that have a positive net present value (NPV). They should avoid investing in projects that have a negative net present value. It is a logical outgrowth of net present value theory.
CONTINGENT LIABILITY,"(1) The LIABILITY of an institution that assumes the role of a GUARANTOR or endorser under a LETTER OF CREDIT,GUARANTEE, or SURETY BOND. (2) ACCOUNTING and RISK classification of an undrawn REVOLVING CREDIT FACILITY granted by a BANK to a borrower.(1) See also CONTINGENT CREDIT RISK."
PREMIUM TAX,A TAX payable by an INSURER to a state or jurisdiction based on the amount of PREMIUMS earned from INSURANCE activities. Premium taxes are generally included in EXPENSE LOADING.
ORIGINAL ISSUE DISCOUNT (OID),The size of the price DISCOUNT to PAR VALUE at the time of a BOND’s issuance. Accretion of the price from OID to par value is treated as INTEREST income for TAX purposes.
Bills of Materials (BOM),"A bill of materials (BOM) is an extensive list of raw materials, components, and instructions required to construct, manufacture, or repair a product or service. A bill of materials usually appears in a hierarchical format, with the highest level displaying the finished product and the bottom level showing individual components and materials."
Numerical Procedure,A method of valuing an option when no formula is available.
Futures Option,An option on a futures contract.
Stable Value Fund,A stable value fund is a portfolio of bonds that are insured to protect the investor against a decline in yield or a loss of capital. The owner of a stable value fund will continue to receive the agreed-upon interest payments regardless of the state of the economy.
annual percentage rate APR,Interest rate is annualized using simple rather than compound interest.
Government debt,The total of gov-ernment obligations in the form of bonds and shorter-term borrow-ings.
GARCH Process,"The generalized autoregressive conditional heteroskedasticity (GARCH) process is an econometric term developed in 1982 by Robert F. Engle, an economist and 2003 winner of the Nobel Memorial Prize for Economics. GARCH describes an approach to estimate volatility in financial markets."
ANTITRUST,Policies and REGULATIONS that restrict the formation of OLIGOPOLY or MONOPOLY power in order to promote free market competition.
Real Property,"Real property is the land, everything that is permanently attached to the land, and all of the rights of ownership, including the right to possess, sell, lease, and enjoy the land. Real property can be classified according to its general use as residential, commercial, agricultural, industrial, or special purpose. In order to understand if you have the right to sell your home, you need to know which rights you possess—or don't possess—in the property."
Stockholders' Equity,"Stockholders' equity, also referred to as shareholders' or owners' equity, is the remaining amount of assets available to shareholders after all liabilities have been paid. It is calculated either as a firm's total assets less its total liabilities or alternatively as the sum of share capital and retained earnings less treasury shares. Stockholders' equity might include common stock, paid-in capital, retained earnings, and treasury stock."
TWO-TIER BID,"A TAKEOVER BID that features a more attractive price for INVESTORS willing to tender their SHARES by the first cutoff date; those choosing not to tender by a certain date are offered a less favorable deal. See also ANY-AND-ALL BID, FAIR PRICE PROVISION."
Vested Benefit,"A vested benefit is a financial package granted to employees who have met the term of service required to receive a full, instead of partial, benefit. As an incentive to stay with a company, employers sometimes offer their employees benefits whereby they acquire the full amount gradually or suddenly, as they accumulate more time with the company."
CAPPED MORTGAGE,See ADJUSTABLE RATE MORTGAGE.
With Discretion,"With discretion is a term that refers to an order type executed by a floor broker or trader according to their best judgment. A with discretion order allows for greater customization and flexibility to try and achieve the best price for the trade. Brokers may also refer to a with discretion order as a ""not-held order,"" which gives price and time discretion."
DIRECT DEBIT,A standing order granted by a PAYOR to a PAYEE to directly withdraw a fixed or variable sum of money from a BANK ACCOUNT.
Nominal Gross Domestic Product,"Nominal gross domestic product is gross domestic product (GDP) evaluated at current market prices. GDP is the monetary value of all the goods and services produced in a country. Nominal differs from real GDP in that it includes changes in prices due to inflation, which reflects the rate of price increases in an economy."
A-B Trust,"An A-B trust is a joint trust created by a married couple for the purpose of minimizing estate taxes. Upon the death of the first spouse, an A-B trust divides into two. It is formed with each spouse placing assets in the trust and naming as the final beneficiary any suitable person except the other spouse."
SUNK COST,An EXPENSE of a company that can never be recovered once incurred. It can be considered as an avoidable FIXED COST that must be ana- lyzed in the context of OPPORTUNITY COST.
ACQUISITION COST,"The cost associated with marketing and writing new INSURANCE business, generally comprised of AGENT COMMISSIONS, UNDERWRITING expenses, fees, and marketing support costs. A portion of these costs may be charged back to INSUREDS through EXPENSE LOADING."
EX-RIGHTS (XR),The purchase of a SHARE of STOCK for which the INVES- TOR is not entitled to any associated RIGHTS.
CROSSED TRADE,"A practice where ORDERS to buy and sell listed SECUR- ITIES are matched without being channeled through an EXCHANGE; once crossed, the details may be reported to the exchange. Crossed trades are not permitted in certain market jurisdictions as they are thought to reduce trans- parency and leave open the possibility for unfair pricing practices."
Visible trade,"Physical EXPORTS and IMPORTS, such as coal, computer chips and cars. Also known as merchandise trade. Contrast with INVISIBLE TRADE. (See BALANCE OF PAYMENTS.)"
Stock Quote,"A stock quote is the price of a stock as quoted on an exchange. A basic quote for a specific stock provides information, such as its bid and ask price, last traded price, and volume traded. Investors increasingly access stock quotes online or on mobile devices, such as smartphones, rather than through print media, such as newspapers and magazines. A large number of Internet portals and websites offer delayed stock quotes at no charge, with real-time stock quotes generally restricted to paying subscribers."
Weighted Average Remaining Term (WART),"Weighted Average Remaining Term (WART) is a metric that captures the average time to maturity of a portfolio of asset-backed securities (ABS). Also known as the weighted average maturity, WART is often used in relation to mortgage-backed securities (MBS)."
Short Put,"A short put refers to when a trader opens an options trade by selling or writing a put option. The trader who buys the put option is long that option, and the trader who wrote that option is short."
Mezzanine Financing,"Mezzanine financing is a hybrid of debt and equity financing that gives the lender the right to convert to an equity interest in the company in case of default, generally, after venture capital companies and other senior lenders are paid."
MINORITY INTEREST,"An ownership stake of less than 50% in a com- pany, which leaves SHAREHOLDERS with no effective control of manage- ment. A minority interest arises when a CONTROLLING INTEREST is held by another party. Also known as MINORITY OWNERSHIP. See also MINORITY CONTROL."
LOSS GIVEN DEFAULT,"A value or percentage estimate of the amount, net of RECOVERY, which a BANK expects to lose if a COUNTERPARTY DEFAULTS (i.e., –1 RECOVERY RATE). Loss given default is an essential input into internaland regulatory CREDIT DEFAULT MODELS as it provides a financial estimate of the net amount that may ultimately be lost should a counterparty fail."
Unlisted Security,"An unlisted security is a financial instrument that is not traded on a formal exchange because it does not meet listing requirements. Trading of unlisted securities is done on the over-the-counter (OTC) market and they are often called OTC securities. Market makers, or dealers, facilitate the buying and selling of unlisted securities on the OTC market."
CAPITAL ALLOWANCE,"In the United Kingdom, an allowance granted to a party that has made CAPITAL INVESTMENTS in property, plant, or equipment used in the productive process."
GAMING CONTRACT,An agreement to enter into a game of chance for money. In certain jurisdictions DERIVATIVES may be defined as gaming con- tracts. Also known as WAGERING CONTRACT.
NEGOTIATED SWAP,"A CORPORATE FINANCE transaction involving an exchange of ASSETS (e.g., a SUBSIDIARY, company, or block of SHARES) between two parties. Use of a negotiated swap is an efficient way for a firm to substitute assets that it no longer requires for others that may represent a better strategic fit."
Federal Reserve Act,The 1913 act of Congress establishing the Federal Reserve System.
Joint Return,"A joint return is a tax return filed with the Internal Revenue Service (IRS) on the new, simplified Form 1040 (as of 2018) by two married taxpayers whose filing status is married filing jointly (MFJ) or by a widowed taxpayer whose filing status is Qualifying Widow or Widower (QW). A joint return allows these taxpayers to combine their tax liability and report their income, deductions, and credits on the same joint return.﻿﻿"
Perpetuity,"A perpetuity is a security that pays for an infinite amount of time. In finance, perpetuity is a constant stream of identical cash flows with no end. The formula to calculate the present value of a perpetuity, or security with perpetual cash flows, is as follows:"
Risk-free rate,"The RATE OF RETURN earned on a risk-free ASSET. This is a crucial component of MODERN PORTFOLIO theory, which assumes the existence of both risky and risk-free assets. The risk-free asset is usually assumed to be a GOVERNMENT BOND, and the risk-free rate is the YIELD on that bond, although in fact even a Treasury is not entirely without risk. In modern portfolio theory, the risk-free rate is lower than the EXPECTED RETURN on the risky asset, because the issuer of the risky asset has to offer RISK AVERSE investors the expectation of a higher return to persuade them to forgo the risk-free asset."
ELIGIBLE PAPER,"Short-term financial instruments (such as GOVERNMENT BILLS, CERTIFICATES OF DEPOSIT, BANKER’S ACCEPTANCES, or BANK-en- dorsed corporate obligations) that can be used for collateralized borrowing in the REPURCHASE AGREEMENT market or through CENTRAL BANK mecha- nisms, such as the DISCOUNT WINDOW."
Shout Option,An option where the holder has the right to lock in a minimum value for the payoff at one time during its life.
Guaranty Fund,Fund to which members of an exchange or CCP contribute. It may be used to cover losses in the event of a default.
Debt Restructuring,"Debt restructuring is a process used by companies, individuals, and even countries to avoid the risk of defaulting on their existing debts, such as by negotiating lower interest rates. Debt restructuring provides a less expensive alternative to bankruptcy when a debtor is in financial turmoil, and it can work to the benefit of both borrower and lender."
Usufruct,A usufruct is a legal right accorded to a person or party that confers the temporary right to use and derive income or benefit from someone else's property. It is a limited real right that can be found in many mixed and civil law jurisdictions. A usufructuary is the person holding the property by usufruct.
DISPOSABLE INCOME,"The amount of discretionary income left for SAVINGS, INVESTMENT, or consumption once mandatory EXPENSES and TAXES have been paid. Disposable income can be measured at both the household level and the national level."
Jesse L. Livermore,"Jesse L. Livermore was a stock trader, who rose from a humble farming background to become a stock trader in Boston. Over the course of his career, he won and lost fortunes in many arenas. A self-made man with no formal education or trading background, Livermore focused on making money from the overall market directions and not concentrating on individual stocks. His strategies were based on a combination of price patterns and volume analysis. Livermore is most well-known for shorting the stock market right at the beginning of the Great Depression in 1929."
Turnkey Business,"A turnkey business is a business that is ready to use, existing in a condition that allows for immediate operation."
Valuation Premium,"A valuation premium is a life insurance calculation that determines the charges for premiums based on the company's liabilities. Insurance companies charge monthly premiums or fees to their policyholders, and in exchange, provide financial coverage for an event, such as death. The premiums that are collected from their customers—called reserves—are usually held in short-term term investments."
dual mandate,"A central bank mandate in which there are two equal objectives, price stability and maximum employment."
Reversion Level,"The level to which the value of a market variable (e.g., an interest rate) tends to revert. "
ACTUARIAL EQUIVALENT,"In INSURANCE, a statistical measure based on the expectation that a loss will occur, and the benefits that will become payable as a result. By computing this measure, the INSURER can vary the PREMIUM it charges INSUREDS. See also ACTUARIAL PRICING."
Producer surplus,"The difference between what a supplier is paid for a good or service and what it cost to SUPPLY. Added to CONSUMER SURPLUS, it provides a measure of the total economic benefit of a sale."
Earnings,A company's earnings are its after-tax net income. This is the company's bottom line or its profits.
ASSET SWAP SPREAD,"The floating COUPON paid above a FLOATING RATE BENCHMARK in an ASSET SWAP, representing the CREDIT RISK of a risky BOND above the INTERBANK MARKET rate. See also BOND SWAP SPREAD, SWAP SPREAD."
PATENT,"Exclusive rights that are granted by a government authority to the designer or inventor of an innovative product or service, generally for a speci- fied period of time (e.g., the WORLD TRADE ORGANIZATION recommends a minimum of 20 years). A patent is typically classified on the BALANCE SHEET as an INTANGIBLE."
Inflationary Gap,An inflationary gap is a macroeconomic concept that measures the difference between the current level of real gross domestic product (GDP) and the GDP that would exist if an economy was operating at full employment.
Goal-Based Investing,"Goal-based investing is a relatively new approach to wealth management that emphasizes investing with the objective of attaining specific life goals. Goal-based investing (GBI) involves a wealth manager or investment firm’s clients measuring their progress towards specific life goals, such as saving for children’s education or building a retirement nest-egg, rather than focusing on generating the highest possible portfolio return or beating the market."
Capital markets,"@also  financial mar-kets @.    nancial resources @money, bonds, stocks@ are traded. These, along with   nan-cial intermediaries,  are institutions through which saving in the econ-omy is transferred to investors.     Capital-output ratio.    In economic-growth theory, the ratio of the total capital stock to annual GDP.     "
Return on Net Assets (RONA),Return on net assets (RONA) is a measure of financial performance calculated as net profit divided by the sum of fixed assets and net working capital. Net profit is also called net income.
Floating Exchange Rate,"A floating exchange rate is a regime where the currency price of a nation is set by the forex market based on supply and demand relative to other currencies. This is in contrast to a fixed exchange rate, in which the government entirely or predominantly determines the rate."
FIFO,The first-in first-out accounting method of inventory valuation.
OAS,See OPTION-ADJUSTED SPREAD.
Cash Surrender Value,"The cash surrender value is the sum of money an insurance company pays to a policyholder or an annuity contract owner in the event that their policy is voluntarily terminated before its maturity or an insured event occurs. This cash value is the savings component of most permanent life insurance policies, particularly whole life insurance policies. It is also known as ""cash value,"" ""surrender value,"" and ""policyholder's equity."""
Joint,Joint is a legal term describing a transaction or agreement where two or more parties act in unison.
Open data,Data exempt from U.S. copyright laws and free for everyone to use without restriction.
Garnishment,"Garnishment, or wage garnishment, is when money is legally withheld from your paycheck and sent to another party. It refers to a legal process that instructs a third party to deduct payments directly from a debtor’s wage or bank account."
BLUE SKY LAWS,"In the United States, state SECURITIES laws intended to pro- tect INVESTORS against FRAUD by BANKS, BROKER/DEALERS, SECURITIES FIRMS, INVESTMENT ADVISORS, or other FIDUCIARIES."
PRIMACY,"In INSURANCE, a rule that indicates which specific insurance coverage takes precedence when multiple coverage exists, in order to avoid dis- pute or conflict. See also APPORTIONMENT, DIVIDED COVER, OVERLAPPING INSURANCE, PRO-RATA."
Bitcoin Cash,"Bitcoin cash is a cryptocurrency created in August 2017, from a fork of Bitcoin.﻿﻿ Bitcoin Cash increased the size of blocks, allowing more transactions to be processed and improving scalability."
EXECUTION RATE,The amount of trades that are CROSSED once MATCHED within a DARK POOL or on an EXCHANGE.
Carriage and Insurance Paid To (CIP),"Carriage and Insurance Paid To (CIP) is when a seller pays freight and insurance to deliver goods to a seller-appointed party at an agreed-upon location. The risk of damage or loss to the goods being transported transfers from the seller to the buyer as soon as the goods are delivered to the carrier or appointed person. It is comparable, but different to Cost, Insurance, and Freight (CIF)."
PLUS TICK,"Sale of a SECURITY at a price that is higher than the prior transac- tion, generally indicated through the display of a “+” next to the screen or tape price. A SHORT SALE can be initiated on a plus tick. Also known as UPTICK See also MINUS TICK, ZERO , ZERO MINUS TICK."
Home Mortgage,"A home mortgage is a loan given by a bank, mortgage company or other financial institution for the purchase of a residence—either a primary residence, a secondary residence, or an investment residence—in contrast to a piece of commercial or industrial property. In a home mortgage, the owner of the property (the borrower) transfers the title to the lender on the condition that the title will be transferred back to the owner once the final loan payment has been made and other terms of the mortgage have been met."
Rival Good,"A rival good is a type of product or service that can only be possessed or consumed by a single user. When a good is rival in consumption, it may be subject to strong demand and fierce competition—factors that tend to drive up prices."
Surplus Lines Insurance,"Surplus lines insurance protects against a financial risk that is too high for a regular insurance company to take on. Surplus line insurance can be used by companies or purchased individually. Unlike normal insurance, this insurance can be bought from an insurer not licensed in the insured’s state. However, the surplus lines insurer requires a license in the state where it is based."
Unicorn,"Unicorn is a term used in the venture capital industry to describe a privately held startup company with a value of over $1 billion. The term was first popularized by venture capitalist Aileen Lee, founder of CowboyVC, a seed-stage venture capital fund based in Palo Alto, California."
OTCQB,"The OTCQB, also called ""The Venture Market,"" is the middle tier of the over-the-counter (OTC) market for U.S. stocks. It was created in 2010 and consists mainly of early-stage and developing U.S. and international companies that are not yet able to qualify for the OTCQX but are not as speculative as the lowest-tier Pink Sheets."
Jim Walton,"Born on June 7, 1948, in Newport, Ark., James (Jim) Carr Walton is the third and youngest son of Walmart (WMT) founder Sam Walton. The Waltons are the richest family in America, with an estimated net worth of $215 billion in 2020."
Kanban,"Kanban is an inventory control system used in just-in-time (JIT) manufacturing. It was developed by Taiichi Ohno, an industrial engineer at Toyota, and takes its name from the colored cards that track production and order new shipments of parts or materials as they run out. Kanban is the Japanese word for sign, so the kanban system simply means to use visual cues to prompt the action needed to keep a process flowing."
excess return,Rate of return in excess of the risk-free rate.
MTN,See MEDIUM-TERM NOTE.
Revolving Door,"The term ""revolving door"" refers to the movement of high-level employees from public-sector jobs to private-sector jobs and vice versa. The idea is that there is a revolving door between the two sectors as many legislators and regulators become lobbyists and consultants for the industries they once regulated and some private industry heads or lobbyists receive government appointments that relate to their former private posts."
TON,"Common reference for one hundred million. See also BUCK, YARD."
Exercise,"Exercise means to put into effect the right to buy or sell the underlying financial instrument specified in an options contract. In options trading, the holder of an option has the right, but not the obligation, to buy or sell the option's underlying security at a specified price on or before a specified date in the future."
Peril,"In insurance, a specific risk or cause of loss."
Confidence Interval,"A confidence interval, in statistics, refers to the probability that a population parameter will fall between a set of values for a certain proportion of times."
Express Warranty,"An express warranty is an agreement by a seller to provide repairs or a replacement for a faulty product, component, or service within a specified time period after it was purchased. Buyers rely on these promises or guarantees and sometimes purchase items because of them."
Preferred Dividend,"A preferred dividend is a dividend that is allocated to and paid on a company's preferred shares. If a company is unable to pay all dividends, claims to preferred dividends take precedence over claims to dividends that are paid on common shares."
Globalisation,"A buzz word that refers to the trend for people, firms and governments around the world to become increasingly dependent on and integrated with each other. This can be a source of tremendous opportunity, as new markets, workers, business partners, goods and services and jobs become available, but also of competitive threat, which may undermine economic activities that were viable before globalisation."
Industrial Revolution,The Industrial Revolution was a period of major industrialization and innovation that took place during the late 1700s and early 1800s. The Industrial Revolution began in Great Britain and quickly spread throughout the world.﻿﻿
Coefficient of Variation (CV),"The coefficient of variation (CV) is a statistical measure of the dispersion of data points in a data series around the mean. The coefficient of variation represents the ratio of the standard deviation to the mean, and it is a useful statistic for comparing the degree of variation from one data series to another, even if the means are drastically different from one another."
EFFECTIVE INTEREST RATE,See EFFECTIVE ANNUAL RATE.
United States Aircraft Insurance Group (USAIG),"United States Aircraft Insurance Group (USAIG) is the nation's first aviation insurance company, founded in 1928 by World War I flying ace Reed McKinley Chambers and pilot David C. Beebe. The United States Aircraft Insurance Group was founded when Chambers realized a need for aviation insurance after the airline company that he had formed, Florida Airways, faced bankruptcy when four airplanes were lost to storms and one accident in 1926. Florida Airways had earned the first private air mail contract awarded by the United States government."
FLOATING POLICY,"(1) An INSURANCE POLICY that relates to movable personal property. (2) An insurance policy that is used to cover merchandise that is continuously changing, such as in maritime shipments of cargoes, orpersonal property which is substituted. Although the specific items being cov- ered change over time, the policy remains in force until it is cancelled. Also known as FLOATING INSURANCE POLICY."
Morningstar Sustainability Rating,"The Morningstar Sustainability Rating is a reliable and objective way for investors to see how approximately 20,000 mutual funds and exchange-traded funds (ETFs) are meeting environmental, social, and corporate governance (ESG) challenges."
BEAR HUG,"A TAKEOVER BID received by a TARGET company that DIRECTORS urge SHAREHOLDERS to accept due to its attractive price. Though directors might prefer to reject the bid, the price makes it nearly impossible for them to do so; failure to recommend approval could constitute a breach of DUTY OF LOYALTY and result in legal action being taken."
Bullet Repayment,"A bullet repayment is a lump sum payment made for the entirety of an outstanding loan amount, usually at maturity. It can also be a single payment of principal on a bond."
CROSSOVER INVESTOR,"An INVESTOR that invests in a company before it goes public, and continues to do so during the INITIAL PUBLIC OFFERING stage and once it is a publicly listed company."
RANGE FORWARD,See ZERO COST COLLAR.
Going Private,"The term going private refers to a transaction or series of transactions that convert a publicly traded company into a private entity. Once a company goes private, its shareholders are no longer able to trade their shares in the open market."
PINNING THE STRIKE,A tendency for the price of a COMMON STOCK with heavily traded OPTIONS to close near the STRIKE PRICE of the most actively traded PUT OPTIONS or CALL OPTIONS.
Treasury Stock Method,"The treasury stock method is an approach companies use to compute the number of new shares that may potentially be created by unexercised in-the-money warrants and options, where the exercise price is less than the current share price. Additional shares obtained through the treasury stock method factor into the calculation of the diluted earnings per share (EPS). This method assumes that the proceeds a company receives from an in-the-money option exercise are used towards repurchasing common shares in the market."
Homogeneous Expectations,"Homogeneous expectations is an assumption, expressed in Harry Markowitz's Modern Portfolio Theory (MPT), that all investors have the same expectations and make the same choices in a given situation."
Net Lease,"The term net lease refers to a contractual agreement where a lessee pays a portion or all of the taxes, insurance fees, and maintenance costs for a property in addition to rent. Net leases are commonly used in commercial real estate. In the purest form of a net lease, the tenant is expected to pay for all the costs related to a piece of property as if the tenant were the actual owner. A net lease is the opposite of a gross lease, where the tenant pays a flat rental fee while the landlord is responsible for the other costs."
Marginal Analysis,"Marginal analysis is an examination of the additional benefits of an activity compared to the additional costs incurred by that same activity. Companies use marginal analysis as a decision-making tool to help them maximize their potential profits. Marginal refers to the focus on the cost or benefit of the next unit or individual, for example, the cost to produce one more widget or the profit earned by adding one more worker."
effective annual rate EAR,Interest rate annualized using compound rather than simple interest.
Winner's Curse,"The winner's curse is a tendency for the winning bid in an auction to exceed the intrinsic value or true worth of an item. The gap in auctioned versus intrinsic value can typically be attributed to incomplete information, emotions, or a variety of other subjective factors that may influence bidders."
PORTFOLIO RETURN,"The income generated by a group of ASSETS over a defined horizon. Income may be derived from DIVIDENDS, YIELD, and/or CAPITAL GAINS, depending on the characteristics of the SECURITIES. The total RETURN of the portfolio is equal to the sum of the returns on each indi- vidual asset, and is given by:where Rp is the return of the portfolio, Rx is the return of asset x in the port- folio, wx is the weight of asset x in the portfolio, Z is the number of assets in the portfolio. See also EXPECTED PORTFOLIO RETURN.s 2 ( Rp ) = s 2 ( R1 ) + s 2 ( R2 ) + 2w1w2cov( R1 , R2 )where Rp is the return of the portfolio, R1 is the return of asset 1, R2 is the return of asset 2, σ2(R1) is the variance of the return of asset 1, σ2 (R2) is the variance of the return of asset 2, w1 is the weight of asset 1 in the portfolio, w2 is the weight of asset 2 in the portfolio, cov(R1, R2) is the covariance between assets 1 and 2.The generalized formula for a portfolio containing Z assets is given by:s 2 ( Rp ) = ∑ ∑ wg whcov( Rg , Rh )Note that the terms for which h = g results in the variance of the Z assets, while the terms for which h ≠ g yields all covariances among the Z assets. See alsoCORRELATION, CORRELATION RISK."
AT BEST,See  ORDER.
Quote Currency,"In foreign exchange (forex), the quote currency, commonly known as the counter currency, is the second currency in both a direct and indirect currency pair and is used to determine the value of the base currency."
keiretsu,a network of japanese companies organized around a major bank.
